+----------------+---------------------+------+----------------------------------------------------------------+-----------------------+-----------------------+
| unix_timestamp | timestamp           | name | filename                                                       | image_shift_x         | image_shift_y         |
|     1571470649 | 2019-10-19 00:37:29 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00012en | -2.29989260716283e-06 |  3.32681728875118e-07 |
|     1571470730 | 2019-10-19 00:38:50 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00013en | -1.55787701547352e-06 |  1.07599123237747e-06 |
|     1571470810 | 2019-10-19 00:40:10 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00014en |  7.45033041549969e-07 | -2.36575966458641e-06 |
|     1571470891 | 2019-10-19 00:41:31 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00015en | -5.82513217381217e-08 | -3.06400450697447e-06 |
|     1571470971 | 2019-10-19 00:42:51 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v02_00002hl_2_v01_00016en | -8.35898410912472e-07 | -2.56121419690761e-06 |
|     1571471074 | 2019-10-19 00:44:34 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v03_00003hl_2_v01_00002en | -3.60626165137535e-07 | -1.82606172532594e-06 |
|     1571471153 | 2019-10-19 00:45:53 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v03_00003hl_2_v01_00003en |  1.54165772648866e-07 | -2.75092392002625e-06 |
|     1571471233 | 2019-10-19 00:47:13 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v03_00003hl_2_v01_00004en | -7.06658185602694e-07 |  -3.2903200050291e-06 |
|     1571471313 | 2019-10-19 00:48:33 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v03_00003hl_2_v01_00005en | -1.31981286392403e-06 | -2.43512691532772e-06 |
|     1571471392 | 2019-10-19 00:49:52 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v03_00003hl_2_v01_00006en |  2.86117273086888e-06 | -1.04226079550332e-06 |
|     1571471472 | 2019-10-19 00:51:12 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v03_00003hl_2_v01_00007en |  3.67784322276396e-06 | -4.74030238333034e-07 |
|     1571471552 | 2019-10-19 00:52:32 | en   | 19oct18b_AC39_3_good_00039gr_00002sq_v03_00003hl_2_v01_00008en |  3.06915058731162e-06 |  3.37824756295756e-07 |
